pop	sample_set	country	year	location	species_gambiae_coluzzii	latitude	longitude	aim_fraction_colu	aim_fraction_arab	counts	chrom	sample_size	independent_comparisons	overall_r^2	expected_r^2	Ne_estimate	Parametric_CI_lower	Parametric_CI_upper	Jackknife_CI_lower	Jackknife_CI_upper
AG1000G-BF-A.Pala.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Pala	coluzzii	11.150000000000004	-4.235	0.979909090909091	0.0020000000000000005	11	X	11.0	39236510	0.113851	0.120949	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Pala.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Pala	gambiae	11.149999999999991	-4.235000000000005	0.02714583333333333	0.0021458333333333342	48	2L	48.0	45234314	0.022484	0.022218	1249.6	1207.5	1294.8	667.1	8765.6
AG1000G-BF-A.Pala.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Pala	gambiae	11.149999999999991	-4.235000000000005	0.02714583333333333	0.0021458333333333342	48	2R	48.0	46595030	0.022283	0.022218	5090.9	4472.2	5907.8	2928.9	19232.3
AG1000G-BF-A.Pala.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Pala	gambiae	11.149999999999991	-4.235000000000005	0.02714583333333333	0.0021458333333333342	48	3L	48.0	47292673	0.022232	0.022218	23690.0	14468.5	65191.7	2331.5	Infinite
AG1000G-BF-A.Pala.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Pala	gambiae	11.149999999999991	-4.235000000000005	0.02714583333333333	0.0021458333333333342	48	3R	48.0	47341314	0.022222	0.022218	84361.3	25825.2	Infinite	3638.9	Infinite
AG1000G-BF-A.Pala.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Pala	gambiae	11.149999999999991	-4.235000000000005	0.02714583333333333	0.0021458333333333342	48	X	48.0	45873830	0.022770	0.022218	601.2	591.2	611.5	376.3	1440.4
AG1000G-BF-A.Souroukoudinga.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	coluzzii	11.235000000000008	-4.5349999999999975	0.9772758620689656	0.002793103448275863	29	2L	29.0	47428928	0.038327	0.038355	Infinite	Infinite	Infinite	3922.8	Infinite
AG1000G-BF-A.Souroukoudinga.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	coluzzii	11.235000000000008	-4.5349999999999975	0.9772758620689656	0.002793103448275863	29	2R	29.0	48289878	0.038432	0.038355	4014.9	3345.6	5017.9	2009.9	645921.1
AG1000G-BF-A.Souroukoudinga.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	coluzzii	11.235000000000008	-4.5349999999999975	0.9772758620689656	0.002793103448275863	29	3L	29.0	48565440	0.038207	0.038355	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Souroukoudinga.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	coluzzii	11.235000000000008	-4.5349999999999975	0.9772758620689656	0.002793103448275863	29	3R	29.0	48506323	0.038252	0.038355	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Souroukoudinga.2012.coluzzii	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	coluzzii	11.235000000000008	-4.5349999999999975	0.9772758620689656	0.002793103448275863	29	X	29.0	48486627	0.037970	0.038355	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Souroukoudinga.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	gambiae	11.235000000000008	-4.5349999999999975	0.028071428571428584	0.0020714285714285726	28	2L	28.0	46788300	0.040056	0.039856	1540.5	1424.5	1676.9	623.6	Infinite
AG1000G-BF-A.Souroukoudinga.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	gambiae	11.235000000000008	-4.5349999999999975	0.028071428571428584	0.0020714285714285726	28	2R	28.0	47536125	0.039797	0.039856	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Souroukoudinga.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	gambiae	11.235000000000008	-4.5349999999999975	0.028071428571428584	0.0020714285714285726	28	3L	28.0	48211289	0.039736	0.039856	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Souroukoudinga.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	gambiae	11.235000000000008	-4.5349999999999975	0.028071428571428584	0.0020714285714285726	28	3R	28.0	48064107	0.039629	0.039856	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-A.Souroukoudinga.2012.gambiae	AG1000G-BF-A	Burkina Faso	2012	Souroukoudinga	gambiae	11.235000000000008	-4.5349999999999975	0.028071428571428584	0.0020714285714285726	28	X	28.0	47682495	0.039225	0.039856	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.coluzzii	AG1000G-BF-B	Burkina Faso	2014	Bana	coluzzii	11.233	-4.472000000000002	0.9775319148936169	0.0021489361702127677	47	2L	47.0	46517830	0.022706	0.022721	Infinite	Infinite	Infinite	5914.4	Infinite
AG1000G-BF-B.Bana.2014.coluzzii	AG1000G-BF-B	Burkina Faso	2014	Bana	coluzzii	11.233	-4.472000000000002	0.9775319148936169	0.0021489361702127677	47	2R	47.0	47234339	0.022918	0.022721	1689.3	1613.5	1772.5	1186.4	2918.5
AG1000G-BF-B.Bana.2014.coluzzii	AG1000G-BF-B	Burkina Faso	2014	Bana	coluzzii	11.233	-4.472000000000002	0.9775319148936169	0.0021489361702127677	47	3L	47.0	47721565	0.022681	0.022721	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.coluzzii	AG1000G-BF-B	Burkina Faso	2014	Bana	coluzzii	11.233	-4.472000000000002	0.9775319148936169	0.0021489361702127677	47	3R	47.0	47623919	0.022681	0.022721	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.coluzzii	AG1000G-BF-B	Burkina Faso	2014	Bana	coluzzii	11.233	-4.472000000000002	0.9775319148936169	0.0021489361702127677	47	X	47.0	47380243	0.024210	0.022721	221.7	220.3	223.2	200.3	248.0
AG1000G-BF-B.Bana.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Bana	gambiae	11.233000000000002	-4.472	0.025866666666666673	0.0023333333333333335	15	2L	15.0	47809530	0.080803	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Bana	gambiae	11.233000000000002	-4.472	0.025866666666666673	0.0023333333333333335	15	2R	15.0	48476780	0.080888	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Bana	gambiae	11.233000000000002	-4.472	0.025866666666666673	0.0023333333333333335	15	3L	15.0	48930777	0.080779	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Bana	gambiae	11.233000000000002	-4.472	0.025866666666666673	0.0023333333333333335	15	3R	15.0	48812140	0.080606	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Bana.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Bana	gambiae	11.233000000000002	-4.472	0.025866666666666673	0.0023333333333333335	15	X	15.0	47995503	0.082042	0.082000	7307.0	4106.3	33043.1	474.7	Infinite
AG1000G-BF-B.Pala.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Pala	gambiae	11.150000000000004	-4.235	0.027187500000000007	0.0021875000000000006	16	2L	16.0	48644314	0.075329	0.075831	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Pala.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Pala	gambiae	11.150000000000004	-4.235	0.027187500000000007	0.0021875000000000006	16	2R	16.0	48713384	0.075030	0.075831	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Pala.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Pala	gambiae	11.150000000000004	-4.235	0.027187500000000007	0.0021875000000000006	16	3L	16.0	49019851	0.074997	0.075831	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Pala.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Pala	gambiae	11.150000000000004	-4.235	0.027187500000000007	0.0021875000000000006	16	3R	16.0	48743000	0.074969	0.075831	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Pala.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Pala	gambiae	11.150000000000004	-4.235	0.027187500000000007	0.0021875000000000006	16	X	16.0	48762749	0.073171	0.075831	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Souroukoudinga.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Souroukoudinga	gambiae	11.235000000000003	-4.534999999999998	0.023400000000000008	0.0022000000000000006	15	2L	15.0	47419187	0.080974	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
